 4 1 1 0 0   0.44158998953250189                0   1.16939068      0.385618091      0.465484619    
           1  -1.00000000               1          11           0           0  -7.28249177E-02 -0.602536201       10.1163263       10.1345158       5.10999991E-04   0.00000000       0.00000000      -1.39125729    
           2   1.00000000               1        2212           0           0   5.76238558E-02  0.623776376      0.545359075       1.25286818      0.938000023       0.00000000       0.00000000      -1.39125729    
           3           0           1          22           0           0  -7.67048215E-03  -7.34184533E-02  -5.73552176E-02   9.34811458E-02           0   0.00000000       0.00000000      -1.39125729    
           4           0           1          22           0           0   2.28715297E-02   5.21782227E-02  -4.32966836E-03   5.71350940E-02           0   0.00000000       0.00000000      -1.39125729    
 4 1 1 0 0   0.65370962722473380                0   1.16393709      0.896493137      0.731019974    
           1  -1.00000000               1          11           0           0  0.911425948      -4.67106588E-02   9.82669258       9.86898041       5.10999991E-04   0.00000000       0.00000000      -4.38517904    
           2   1.00000000               1        2212           0           0 -0.646945894      0.152928218      0.507927716       1.25688410      0.938000023       0.00000000       0.00000000      -4.38517904    
           3           0           1          22           0           0 -0.116338380      -8.04580301E-02   5.11717945E-02  0.150421619               0   0.00000000       0.00000000      -4.38517904    
           4           0           1          22           0           0 -0.148142636      -2.57598590E-02  0.214208528      0.261715710               0   0.00000000       0.00000000      -4.38517904    
 4 1 1 0 0   0.30611592209381677                0   1.15969682      0.205162063      0.357254982    
           1  -1.00000000               1          11           0           0  0.440241158       6.58899620E-02   10.2330675       10.2427454       5.10999991E-04   0.00000000       0.00000000     -0.808539629    
           2   1.00000000               1        2212           0           0 -0.468286067       6.42177239E-02  0.281802267       1.08750618      0.938000023       0.00000000       0.00000000     -0.808539629    
           3           0           1          22           0           0   5.68729192E-02  -4.19752859E-02   9.05388668E-02  0.114864007               0   0.00000000       0.00000000     -0.808539629    
           4           0           1          22           0           0  -2.88279280E-02  -8.81327838E-02  -5.40862978E-03   9.28853601E-02           0   0.00000000       0.00000000     -0.808539629    
 4 1 1 0 0   0.16137680118606443                0   1.46942794      0.246189937      0.813198090    
           1  -1.00000000               1          11           0           0 -0.475457370      -3.32930088E-02   9.77518940       9.78680229       5.10999991E-04   0.00000000       0.00000000      -1.94718313    
           2   1.00000000               1        2212           0           0  0.670711875      0.280971110      0.737141192       1.39714658      0.938000023       0.00000000       0.00000000      -1.94718313    
           3           0           1          22           0           0   9.03539360E-04  -8.54317397E-02   1.99719891E-03   8.54598582E-02           0   0.00000000       0.00000000      -1.94718313    
           4           0           1          22           0           0 -0.196159214     -0.162247881       8.56727958E-02  0.268593848               0   0.00000000       0.00000000      -1.94718313    
 4 1 1 0 0   0.20157452786640806                0   1.70097280      0.508329928       1.34424114    
           1  -1.00000000               1          11           0           0  0.400119454      0.532161117       9.23178101       9.25575924       5.10999991E-04   0.00000000       0.00000000      -1.17538238    
           2   1.00000000               1        2212           0           0 -0.376049936      0.241248488      0.723356009       1.26597917      0.938000023       0.00000000       0.00000000      -1.17538238    
